fecha	dia_jul	lat	lon	 situ 	 mean 
07/02/2007	38	-12.04672	-77.28467	 2.710 	 18.81 
30/03/2007	89	-12.03965	-77.37442	 11.210 	 7.68 
29/11/2013	333	-5	-81.24883	 0.233 	 0.66 
15/02/2014	46	-19.107	-73.4001	 0.052 	 0.20 
18/02/2014	49	-19.27123	-75.29193	 0.026 	 0.17 
19/02/2014	50	-18.64628	-75.5316	 0.026 	 0.15 
20/02/2014	51	-18.34867	-76.80017	 0.026 	 0.16 
23/02/2014	54	-17.99888	-71.61917	 0.207 	 0.65 
27/02/2014	58	-16.85295	-72.97077	 0.129 	 0.73 
27/02/2014	58	-16.61652	-72.84385	 0.284 	 7.83 
06/03/2014	65	-15.14158	-75.9435	 0.284 	 2.65 
17/03/2014	76	-12.73213	-78.25263	 1.917 	 5.36 
21/03/2014	80	-11.03633	-78.8503	 0.362 	 1.66 
21/03/2014	80	-10.88232	-78.56553	 0.336 	 1.46 
21/03/2014	80	-10.71972	-78.26258	 3.823 	 1.77 
24/03/2014	83	-9.70772	-79.62167	 0.439 	 3.04 
29/03/2014	88	-7.65043	-79.53627	 2.557 	 37.35 
30/03/2014	89	-5	-81.24883	 2.635 	 0.70 
04/04/2014	94	-6.33887	-81.79383	 1.498 	 2.51 
09/04/2014	99	-4.2512	-81.5024	 0.465 	 5.03 
23/04/2014	113	-12.04422	-77.65267	 0.130 	 0.98 
24/04/2014	114	-12.0398	-77.83712	 0.150 	 0.53 
25/04/2014	115	-14.28165	-76.80402	 0.440 	 2.75 
25/04/2014	115	-14.19502	-76.64797	 0.930 	 6.30 
10/05/2014	130	-5.06625	-81.25911	 0.904 	 1.02 
09/06/2014	160	-5.06625	-81.25911	 0.181 	 1.74 
23/06/2014	174	-5.06625	-81.25911	 0.723 	 4.37 
09/07/2014	190	-5.06625	-81.25911	 0.050 	 0.75 
23/07/2014	204	-5.06625	-81.25911	 0.180 	 0.74 
11/08/2014	223	-5.06625	-81.25911	 0.130 	 0.51 
13/08/2014	225	-4.01038	-81.0331	 0.258 	 1.18 
25/08/2014	237	-5.06625	-81.25911	 0.130 	 0.75 
04/09/2014	247	-9.88733	-78.38193	 0.155 	 1.35 
22/09/2014	265	-16.16473	-76.70537	 0.258 	 0.58 
23/09/2014	266	-16.22892	-75.54727	 0.129 	 3.74 
08/11/2014	312	-16.46267	-74.77792	 0.103 	 1.02 
10/11/2014	314	-15.81733	-75.64883	 0.207 	 2.96 
20/02/2015	51	-3.44452	-81.98648	 0.100 	 0.73 
23/02/2015	54	-12.03332	-77.22083	 1.705 	 8.21 
23/02/2015	54	-12.04787	-77.28727	 2.015 	 3.71 
27/02/2015	58	-5.75605	-81.02298	 0.360 	 0.44 
28/02/2015	59	-6.1335	-81.4335	 2.118 	 9.74 
28/02/2015	59	-6.30253	-81.7346	 0.672 	 3.71 
02/03/2015	61	-6.55533	-80.6725	 2.200 	 16.11 
09/03/2015	68	-9.28993	-78.8615	 1.292 	 24.80 
13/03/2015	72	-11.52023	-77.6559	 15.110 	 4.01 
18/03/2015	77	-11.85497	-77.27945	 7.960 	 15.34 
18/03/2015	77	-11.9683	-77.46357	 12.300 	 7.74 
25/03/2015	84	-14.04952	-76.54675	 1.730 	 4.31 
25/03/2015	84	-13.94945	-76.37752	 1.010 	 22.47 
31/03/2015	90	-15.49565	-75.06863	 2.893 	 0.98 
23/04/2015	113	-12.05217	-77.23103	 1.834 	 4.60 
23/04/2015	113	-12.02943	-77.2143	 1.292 	 2.82 
26/04/2015	116	-14.12385	-76.50812	 0.504 	 21.67 
01/09/2015	244	-12.14852	-77.22987	 0.633 	 1.51 
16/09/2015	259	-5.75358	-80.97868	 2.260 	 1.16 
30/09/2015	273	-16.84167	-72.67167	 0.542 	 5.85 
30/09/2015	273	-16.68833	-72.585	 3.190 	 21.74 
06/12/2015	340	-14.19423	-76.6513	 1.774 	 3.04 
31/05/2003	20:45:00	-7.1016	-80.0737	1.34004	1.3611
02/06/2003	14:30:00	-4.743	-81.469	0.54969	0.7995
