Norte
fecha	dia_jul	lat	lon	 situ 	 mean 
2013-11-29	333	-5.0	-81.24883	0.233	0.66
2014-03-29	88	-7.65043	-79.53627	2.557	37.35
2014-03-30	89	-5.0	-81.24883	2.635	0.7
2014-04-04	94	-6.33887	-81.79383	1.498	2.51
2014-09-04	99	-4.2512	-81.5024	0.465	5.03
2014-10-05	130	-5.06625	-81.25911	0.904	1.02
2014-09-06	160	-5.06625	-81.25911	0.181	1.74
2014-06-23	174	-5.06625	-81.25911	0.723	4.37
2014-09-07	190	-5.06625	-81.25911	0.05	0.75
2014-07-23	204	-5.06625	-81.25911	0.18	0.74
2014-11-08	223	-5.06625	-81.25911	0.13	0.51
2014-08-13	225	-4.01038	-81.0331	0.258	1.18
2014-08-25	237	-5.06625	-81.25911	0.13	0.75
2015-02-20	51	-3.44452	-81.98648	0.1	0.73
2015-02-27	58	-5.75605	-81.02298	0.36	0.44
2015-02-28	59	-6.1335	-81.4335	2.118	9.74
2015-02-28	59	-6.30253	-81.7346	0.672	3.71
2015-02-03	61	-6.55533	-80.6725	2.2	16.11
2015-09-16	259	-5.75358	-80.97868	2.26	1.16
2003-05-31	20:45:00	-7.1016	-80.0737	1.34004	1.3611
2003-02-06	14:30:00	-4.743	-81.469	0.54969	0.7995

Centro
fecha	dia_jul	lat	lon	 situ 	 mean 
2007-07-02	38	-12.04672	-77.28467	2.71	18.81
2007-03-30	89	-12.03965	-77.37442	11.21	7.68
2014-03-17	76	-12.73213	-78.25263	1.917	5.36
2014-03-21	80	-11.03633	-78.8503	0.362	1.66
2014-03-21	80	-10.88232	-78.56553	0.336	1.46
2014-03-21	80	-10.71972	-78.26258	3.823	1.77
2014-03-24	83	-9.70772	-79.62167	0.439	3.04
2014-04-23	113	-12.04422	-77.65267	0.13	0.98
2014-04-24	114	-12.0398	-77.83712	0.15	0.53
2014-04-25	115	-14.28165	-76.80402	0.44	2.75
2014-04-25	115	-14.19502	-76.64797	0.93	6.3
2014-04-09	247	-9.88733	-78.38193	0.155	1.35
2015-02-23	54	-12.03332	-77.22083	1.705	8.21
2015-02-23	54	-12.04787	-77.28727	2.015	3.71
2015-09-03	68	-9.28993	-78.8615	1.292	24.8
2015-03-13	72	-11.52023	-77.6559	15.11	4.01
2015-03-18	77	-11.85497	-77.27945	7.96	15.34
2015-03-18	77	-11.9683	-77.46357	12.3	7.74
2015-03-25	84	-14.04952	-76.54675	1.73	4.31
2015-03-25	84	-13.94945	-76.37752	1.01	22.47
2015-04-23	113	-12.05217	-77.23103	1.834	4.6
2015-04-23	113	-12.02943	-77.2143	1.292	2.82
2015-04-26	116	-14.12385	-76.50812	0.504	21.67
2015-01-09	244	-12.14852	-77.22987	0.633	1.51
2015-06-12	340	-14.19423	-76.6513	1.774	3.04

Sur
fecha	dia_jul	lat	lon	 situ 	 mean 
2014-02-15	46	-19.107	-73.4001	0.052	0.2
2014-02-18	49	-19.27123	-75.29193	0.026	0.17
2014-02-19	50	-18.64628	-75.5316	0.026	0.15
2014-02-20	51	-18.34867	-76.80017	0.026	0.16
2014-02-23	54	-17.99888	-71.61917	0.207	0.65
2014-02-27	58	-16.85295	-72.97077	0.129	0.73
2014-02-27	58	-16.61652	-72.84385	0.284	7.83
2014-06-03	65	-15.14158	-75.9435	0.284	2.65
2014-09-22	265	-16.16473	-76.70537	0.258	0.58
2014-09-23	266	-16.22892	-75.54727	0.129	3.74
2014-08-11	312	-16.46267	-74.77792	0.103	1.02
2014-10-11	314	-15.81733	-75.64883	0.207	2.96
2015-03-31	90	-15.49565	-75.06863	2.893	0.98
2015-09-30	273	-16.84167	-72.67167	0.542	5.85
2015-09-30	273	-16.68833	-72.585	3.19	21.74
