Date_MODIS	Time_MODIS	AOD_MODIS	Time_AERONET	AOD_AERONET
2005-01-04	13:14	0.189000008977	13:19:58	0.108586
2005-01-06	13:01	0.102000004845	13:05:51	0.028218
2005-02-11	12:37	0.142000006745	12:36:20	0.069788
2005-03-05	13:38	0.205000009737	13:33:55	0.085891
2005-03-13	12:49	0.244000011589	12:55:05	0.060033
2005-03-16	13:19	0.589000027976	13:24:11	0.250651
2005-04-05	12:55	0.619500029425	13:24:57	0.352896
2005-04-10	13:13	0.181000008597	13:18:19	0.042576
2005-04-12	13:01	0.185000008787	13:00:57	0.10093
2005-04-14	12:49	0.226666677433	12:45:25	0.11072
2005-04-27	13:56	0.294000013964	13:57:48	0.197718
2005-05-06	13:50	0.255500012136	13:56:48	0.135656
2005-05-14	13:00	0.170833341447	12:56:35	0.077604
2005-05-15	13:43	0.15600000741	13:41:36	0.082863
2005-05-22	12:12	0.177666675105	12:11:59	0.062664
2005-05-22	13:50	0.158500007528	13:56:58	0.047146
2005-05-26	13:25	0.320000015199	13:27:21	0.20358
2005-06-04	13:19	0.580000027549	13:20:34	0.257091
2005-06-05	14:02	0.315000014962	13:58:46	0.193523
2005-06-08	12:55	0.340500016173	12:59:19	0.202528
2005-06-09	13:37	0.336000015959	13:21:33	0.204333
2005-06-10	12:42	0.251000011922	12:44:40	0.155304
2005-06-17	12:49	0.310400014743	12:45:52	0.221798
2005-06-30	13:56	0.215333343561	14:03:32	0.06139
2005-07-08	13:07	0.465000022086	12:50:00	0.176252
2005-07-10	12:55	0.366500017408	12:50:16	0.195112
2005-07-18	13:43	0.285000013537	13:27:58	0.072415
2005-12-22	13:13	0.178000008455	13:13:23	0.08918
2006-01-21	13:25	0.413000019616	13:26:26	0.232846
2006-01-23	13:13	0.368000017479	13:27:01	0.243676
2006-02-06	13:25	0.203000009642	13:29:30	0.072713
2006-02-15	13:19	0.373000017717	13:14:42	0.094689
2006-03-14	13:01	0.232750011055	12:54:51	0.145337
2006-03-28	13:14	0.146000006935	13:20:29	0.073548
2006-03-29	13:57	0.113000005367	13:50:10	0.050458
2006-04-25	13:38	0.90300004289	13:58:10	0.539632
2006-05-01	13:02	0.182500008668	12:57:20	0.10636
2006-05-30	12:32	0.3796666847	12:12:49	0.268575
2006-06-14	13:27	0.667000031681	13:30:23	0.495396
2006-08-01	11:51	0.0993333380514	11:51:24	0.030423
2006-08-07	12:51	0.407000019331	12:51:01	0.270818
2006-08-27	14:05	0.146000006935	14:02:12	0.063552
2006-08-29	13:53	0.218500010378	14:01:38	0.057061
2006-08-30	12:58	0.135000006412	13:01:21	0.062364
2006-09-02	13:28	0.454000021564	13:30:27	0.339293
2006-09-19	14:11	0.171000008122	14:09:29	0.102355
2006-10-06	13:16	0.217000010307	13:18:36	0.119355
2006-11-30	13:22	0.199000009452	13:18:51	0.111585
2007-06-07	12:52	0.407000019331	12:59:01	0.19573
2007-06-11	14:05	0.226000010734	13:59:45	0.064638
2007-06-12	13:10	0.228000010829	13:21:52	0.151992
2007-06-13	12:16	0.159833340925	12:15:08	0.070207
2007-06-13	13:53	0.181500008621	14:00:06	0.097051
2007-06-14	12:58	0.134500006388	13:00:19	0.059218
2007-06-16	12:46	0.153500007291	12:45:44	0.040723
2007-06-19	13:16	0.169000008027	13:16:17	0.093035
2007-06-21	13:04	0.228666677528	13:01:43	0.151184
2007-06-22	13:47	0.236500011233	13:46:54	0.121849
2007-06-27	14:05	0.223000010592	14:02:52	0.126293
2007-06-28	13:10	0.476000022609	13:03:05	0.354417
2007-07-01	13:41	0.245000011637	13:33:39	0.086502
2007-07-03	13:28	0.245000011637	13:25:52	0.054447
2007-07-04	12:33	0.121111116864	12:34:11	0.040219
2007-07-04	14:11	0.185000008787	14:04:10	0.039907
2007-07-08	13:47	0.266000012634	13:49:48	0.138557
2007-07-09	12:52	0.216857153157	12:49:59	0.132738
2007-07-11	12:39	0.278333346553	12:35:16	0.185563
2007-07-19	13:28	0.357000016957	13:27:58	0.15828
2007-07-20	12:33	0.138777784369	12:36:12	0.066544
2007-07-20	14:11	0.166666674583	14:21:10	0.090593
2007-07-22	12:21	0.285777791351	12:21:19	0.05159
2007-07-22	13:59	0.15600000741	14:06:17	0.05981
2007-07-23	13:04	0.145333340236	13:06:20	0.044415
2007-07-24	13:47	0.226666677433	13:51:23	0.097247
2007-07-28	13:22	0.366500017408	13:21:27	0.187353
2007-07-29	14:05	0.257000012207	14:06:26	0.131308
2007-07-30	13:10	0.288000013679	13:06:26	0.16628
2007-07-31	13:53	0.343500016315	13:51:23	0.209208
2007-08-06	13:16	0.202500009618	13:21:03	0.101958
2007-08-08	13:04	0.17200000817	13:05:52	0.096163
2007-08-13	13:22	0.219000010402	13:20:13	0.091584
2007-08-14	14:05	0.223000010592	14:05:02	0.118926
2007-08-19	12:46	0.215333343561	12:49:09	0.116278
2007-08-24	13:04	0.350000016624	13:02:58	0.224829
2007-08-31	13:10	0.302000014344	13:16:00	0.128985
2007-09-02	12:58	0.179500008526	13:00:24	0.107242
2007-10-08	12:33	0.167000007932	12:32:57	0.082425
2007-10-09	13:16	0.276000013109	13:17:38	0.090497
2007-10-10	13:59	0.154500007338	14:02:21	0.053241
2007-11-07	12:45	0.118375005623	12:43:55	0.049226
2008-01-20	13:22	0.0976000046358	13:26:05	0.019807
2008-01-26	12:45	0.197000009357	12:42:43	0.113498
2008-01-27	13:28	0.210500009998	13:27:56	0.115718
2008-02-12	13:28	0.380000018049	13:29:43	0.26538
2008-03-01	13:16	0.182000008645	13:12:49	0.100364
2008-03-02	12:21	0.188111120046	12:27:38	0.105058
2008-03-03	13:04	0.163333341091	12:57:24	0.094845
2008-03-19	13:04	0.21166667672	13:08:00	0.121966
2008-03-24	13:22	0.166000007885	13:21:24	0.053842
2008-04-13	12:58	0.205000009737	13:00:29	0.124164
2008-04-22	12:52	0.163000007742	13:13:29	0.089243
2008-04-26	14:05	0.285000013537	13:57:48	0.116719
2008-04-29	12:58	0.244000011589	12:57:24	0.130809
2008-05-01	12:46	0.170833341447	12:42:11	0.096666
2008-05-02	13:29	0.421000019996	13:27:04	0.304205
2008-06-02	12:46	0.273000012967	12:58:21	0.088959
2008-06-05	13:17	0.206000009784	13:13:49	0.089942
2008-06-07	13:05	0.19200000912	12:59:11	0.088767
2008-06-14	13:11	0.175000008312	13:15:29	0.085869
2008-06-15	13:54	0.15200000722	14:15:40	0.06804
2008-06-16	12:59	0.173000008217	13:00:55	0.058191
2008-06-21	13:17	0.197000009357	13:16:53	0.104692
2008-06-24	12:10	0.116500005533	12:17:30	0.045274
2008-06-24	13:48	0.150000007125	13:47:30	0.04608
2008-06-27	12:40	0.183777786507	12:33:06	0.087264
2008-06-28	13:23	0.396000018809	13:25:01	0.172627
2008-07-01	13:54	0.224000010639	13:48:49	0.12792
2008-07-03	13:42	0.341000016197	13:49:10	0.043292
2008-07-06	14:12	0.167000007932	14:04:39	0.066941
2008-07-07	13:17	0.191000009072	13:19:48	0.115065
2008-07-13	12:41	0.183500008716	12:35:38	0.097233
2008-07-27	12:53	0.0964000045788	12:51:27	0.040183
2008-07-31	14:06	0.162000007695	14:06:21	0.055657
2008-08-02	12:17	0.185888897718	12:21:16	0.070743
2008-08-07	12:35	0.273375012985	12:35:53	0.098785
2008-08-07	14:13	0.150333340474	14:05:52	0.070764
2008-08-08	13:17	0.192666675818	13:20:44	0.06438
2008-08-09	14:00	0.199000009452	14:05:38	0.080739
2008-08-10	13:05	0.163500007766	13:05:30	0.08974
2008-08-17	13:11	0.186500008858	13:04:19	0.055547
2008-08-18	13:54	0.232000011019	13:49:05	0.138188
2008-08-19	12:59	0.310500014748	13:03:55	0.156261
2008-08-28	12:53	0.201750009583	12:46:36	0.113539
2008-08-31	13:24	0.329000015627	13:22:23	0.118658
2008-09-02	13:12	0.264000012539	13:21:47	0.17289
2008-09-04	13:00	0.427000020281	12:59:24	0.246798
2008-09-11	13:06	0.346000016434	13:12:00	0.150401
2008-09-14	13:36	0.245000011637	13:40:55	0.034259
2008-10-24	12:48	0.195000009262	12:44:21	0.104465
2008-11-12	13:19	0.217000010307	13:29:31	0.121183
2008-11-21	13:13	0.161000007647	13:16:19	0.088121
2009-11-20	13:37	0.298000014154	13:30:52	0.14806
2009-12-06	13:37	0.106000005035	13:36:07	0.043003
2009-12-10	13:13	0.128750006115	13:14:57	0.066293
2009-12-17	13:19	0.14800000703	13:17:54	0.06864
2010-03-09	13:06	0.15600000741	13:11:13	0.060065
2010-03-16	13:12	0.236000011209	13:09:16	0.080006
2010-03-17	13:55	0.143000006792	13:53:58	0.076926
2010-04-19	13:00	0.257000012207	12:59:20	0.057494
2010-04-27	13:49	0.166000007885	13:42:52	0.054253
2010-04-28	12:54	0.266000012634	13:12:43	0.173355
2010-05-05	13:00	0.124600005918	12:56:58	0.061596
2010-05-07	12:48	0.26983334615	12:41:50	0.144091
2010-05-16	12:41	0.163125007748	12:41:40	0.095451
2010-05-17	13:24	0.159000007552	13:26:44	0.088719
2010-05-23	12:48	0.246000011684	12:42:04	0.111243
2010-05-24	13:30	0.303000014392	13:27:13	0.121999
2010-05-25	14:13	0.178333341804	14:12:14	0.105197
2010-05-27	12:23	0.239285725651	12:12:30	0.123613
