Date_MODIS	Time_MODIS	AOD_MODIS	Time_AERONET	AOD_AERONET
4/02/2015	18:31	0.066000003	18:54:23	0.082625381999999997
8/03/2015	18:31	0.164000008	NaN	NaN
26/03/2015	18:19	0.196000009	NaN	NaN
4/04/2015	18:13	0.109600005	18:05:38	0.061360615
20/04/2015	18:13	0.42500002	NaN	NaN
1/05/2015	17:55	0.096000005	NaN	NaN
22/05/2015	18:13	0.093500004	18:14:05	0.099826115000000007
27/05/2015	18:31	0.145000007	NaN	NaN
7/06/2015	18:13	0.094000004	18:16:21	0.098700470999999998
9/06/2015	18:01	0.154000007	NaN	NaN
14/06/2015	18:19	0.123500006	18:17:12	0.086371854999999997
21/06/2015	18:25	0.085000004	18:18:39	0.11473216900000001
28/06/2015	18:31	0.068000003	18:35:10	0.064954214999999996
4/07/2015	17:54	0.050600002	17:51:16	0.076649164000000006
11/07/2015	18:00	0.171000008	17:44:35	0.10712709500000001
30/07/2015	18:31	0.144000007	18:45:29	0.140771963
31/07/2015	17:36	0.093750004	17:38:24	0.133629412
1/08/2015	18:18	0.251250012	NaN	NaN
3/08/2015	18:06	0.270000013	18:08:19	0.18624306600000001
12/08/2015	18:00	0.530000025	NaN	NaN
13/08/2015	18:43	0.275000013	18:22:21	0.23891981399999998
17/08/2015	18:18	0.341000016	18:36:43	0.37219018700000001
21/08/2015	17:54	0.828166706	17:50:57	0.81962013
22/08/2015	18:37	0.723200034	NaN	NaN
26/08/2015	18:12	0.756000036	NaN	NaN
31/08/2015	18:31	0.705000033	18:03:00	0.44071871299999998
4/09/2015	18:06	0.763000036	18:17:27	0.50248490499999998
6/09/2015	17:54	0.199857152	NaN	NaN
7/09/2015	18:37	0.333000016	NaN	NaN
11/09/2015	18:12	0.238000011	NaN	NaN
14/09/2015	18:43	0.340480016	18:51:43	0.408143847
15/09/2015	17:48	0.748857178	NaN	NaN
18/09/2015	18:18	0.497000024	18:34:05	0.548925844
20/09/2015	18:06	0.535920025	18:11:04	0.48349286499999999
29/09/2015	18:00	0.41900002	18:30:30	0.349960465
3/10/2015	17:35	0.352142874	NaN	NaN
6/10/2015	18:06	0.317071444	17:50:43	0.32823629900000001
8/10/2015	17:54	0.507545479	NaN	NaN
9/10/2015	18:37	0.376400018	NaN	NaN
13/10/2015	18:12	0.223857153	18:18:50	0.30615140699999999
18/10/2015	18:30	0.42600002	NaN	NaN
20/10/2015	18:18	0.600000028	18:32:24	0.60127387099999996
22/10/2015	18:06	0.881000042	NaN	NaN
25/10/2015	18:37	0.680000032	NaN	NaN
31/10/2015	18:00	0.186000009	NaN	NaN
5/11/2015	18:18	0.20400001	NaN	NaN
10/11/2015	18:37	0.375000018	NaN	NaN
17/11/2015	18:43	0.223000011	NaN	NaN
21/11/2015	18:18	0.487333356	NaN	NaN
26/11/2015	18:37	0.170000008	NaN	NaN
28/11/2015	18:24	0.243000012	NaN	NaN
12/12/2015	18:37	0.409000019	NaN	NaN
14/12/2015	18:24	0.259600012	NaN	NaN
16/12/2015	18:12	0.516000025	NaN	NaN
23/12/2015	18:18	0.192000009	NaN	NaN
7/01/2016	17:35	0.043000002	NaN	NaN
20/01/2016	18:43	0.190000009	NaN	NaN
21/01/2016	17:48	0.248000012	NaN	NaN
24/01/2016	18:18	0.275000013	NaN	NaN
31/01/2016	18:24	0.190571438	NaN	NaN
9/02/2016	18:18	0.175142865	NaN	NaN
3/03/2016	18:25	0.117000006	NaN	NaN
21/03/2016	18:13	0.297800014	NaN	NaN
4/04/2016	18:25	0.093625004	NaN	NaN
6/04/2016	18:13	0.227000011	NaN	NaN
8/04/2016	18:01	0.143000007	NaN	NaN
10/04/2016	17:49	0.186500009	NaN	NaN
18/04/2016	18:38	0.231666678	NaN	NaN
29/04/2016	18:19	0.07116667	NaN	NaN
1/05/2016	18:07	0.00088	NaN	NaN
3/05/2016	17:55	0.075000004	NaN	NaN
15/05/2016	18:19	0.181666675	NaN	NaN
24/05/2016	18:12	0.022000001	NaN	NaN
28/05/2016	17:48	0.107875005	NaN	NaN
29/05/2016	18:31	0.095500005	NaN	NaN
13/06/2016	17:48	0.043480002	NaN	NaN
18/06/2016	18:06	0.184600009	NaN	NaN
20/06/2016	17:54	0.099142862	NaN	NaN
21/06/2016	18:37	0.081428575	NaN	NaN
23/06/2016	18:24	0.023000001	NaN	NaN
29/06/2016	17:48	0.043050002	NaN	NaN
4/07/2016	18:06	0.080900004	NaN	NaN
7/07/2016	18:36	0.153500007	NaN	NaN
16/07/2016	18:30	0.070000003	NaN	NaN
17/07/2016	17:35	0.123640006	NaN	NaN
20/07/2016	18:06	0.079200004	NaN	NaN
21/07/2016	18:49	0.120600006	NaN	NaN
22/07/2016	17:53	0.089240004	NaN	NaN
23/07/2016	18:36	0.104600005	NaN	NaN
27/07/2016	18:12	0.230000011	NaN	NaN
29/07/2016	18:00	0.21200001	NaN	NaN
31/07/2016	17:47	0.257652186	NaN	NaN
3/08/2016	18:18	0.260615397	NaN	NaN
5/08/2016	18:06	0.345304364	NaN	NaN
12/08/2016	18:12	0.223761915	NaN	NaN
14/08/2016	18:00	0.264000013	NaN	NaN
15/08/2016	18:42	0.367000017	NaN	NaN
17/08/2016	18:30	0.22100001	NaN	NaN
23/08/2016	17:53	0.43112002	NaN	NaN
24/08/2016	18:36	0.666040032	NaN	NaN
25/08/2016	17:41	0.817388928	NaN	NaN
26/08/2016	18:24	0.783400037	NaN	NaN
6/09/2016	18:06	0.056640003	NaN	NaN
7/09/2016	18:48	0.153000007	NaN	NaN
8/09/2016	17:53	0.270640013	NaN	NaN
9/09/2016	18:36	0.383727291	NaN	NaN
11/09/2016	18:24	1.424000068	NaN	NaN
16/09/2016	18:42	0.42900002	NaN	NaN
17/09/2016	17:47	0.517250025	NaN	NaN
19/09/2016	17:35	0.381285732	NaN	NaN
23/09/2016	18:48	0.339000016	NaN	NaN
